episode_id,transition_id,state,action,immediate_reward,delayed_reward,done,next_state,info
7,3,"(0, 3)",3,1,1,TRUE,"(-1, -1)","{'immediate_reward': -1, 'total rewards': 0.0, 'total steps': 4, 'current state': (-1, -1)}"
8,0,"(0, 0)",2,1,1,TRUE,"(-1, -1)","{'immediate_reward': -1, 'total rewards': 0, 'total steps': 1, 'current state': (-1, -1)}"
9,0,"(0, 0)",2,1,1,TRUE,"(-1, -1)","{'immediate_reward': -1, 'total rewards': 0, 'total steps': 1, 'current state': (-1, -1)}"
10,0,"(0, 0)",1,0,0,FALSE,"(1, 0)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 1, 'current state': (1, 0)}"
10,1,"(1, 0)",0,0,0,FALSE,"(1, 1)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 2, 'current state': (1, 1)}"
10,2,"(1, 1)",3,0,0,FALSE,"(0, 1)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 3, 'current state': (0, 1)}"
10,3,"(0, 1)",2,0,0,FALSE,"(0, 0)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 4, 'current state': (0, 0)}"
10,4,"(0, 0)",1,0,0,FALSE,"(1, 0)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 5, 'current state': (1, 0)}"
10,5,"(1, 0)",2,1,1,TRUE,"(-1, -1)","{'immediate_reward': -1, 'total rewards': 0.0, 'total steps': 6, 'current state': (-1, -1)}"
11,0,"(0, 0)",2,1,1,TRUE,"(-1, -1)","{'immediate_reward': -1, 'total rewards': 0, 'total steps': 1, 'current state': (-1, -1)}"
12,0,"(0, 0)",2,1,1,TRUE,"(-1, -1)","{'immediate_reward': -1, 'total rewards': 0, 'total steps': 1, 'current state': (-1, -1)}"
13,0,"(0, 0)",2,1,1,TRUE,"(-1, -1)","{'immediate_reward': -1, 'total rewards': 0, 'total steps': 1, 'current state': (-1, -1)}"
14,0,"(0, 0)",1,0,0,FALSE,"(1, 0)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 1, 'current state': (1, 0)}"
14,1,"(1, 0)",1,0,0,FALSE,"(2, 0)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 2, 'current state': (2, 0)}"
14,2,"(2, 0)",1,0,0,FALSE,"(3, 0)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 3, 'current state': (3, 0)}"
14,3,"(3, 0)",3,0,0,FALSE,"(2, 0)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 4, 'current state': (2, 0)}"
14,4,"(2, 0)",2,1,1,TRUE,"(-1, -1)","{'immediate_reward': -1, 'total rewards': 0.0, 'total steps': 5, 'current state': (-1, -1)}"
15,0,"(0, 0)",3,1,1,TRUE,"(-1, -1)","{'immediate_reward': -1, 'total rewards': 0, 'total steps': 1, 'current state': (-1, -1)}"
16,0,"(0, 0)",3,1,1,TRUE,"(-1, -1)","{'immediate_reward': -1, 'total rewards': 0, 'total steps': 1, 'current state': (-1, -1)}"
17,0,"(0, 0)",1,0,0,FALSE,"(1, 0)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 1, 'current state': (1, 0)}"
17,1,"(1, 0)",3,0,0,FALSE,"(0, 0)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 2, 'current state': (0, 0)}"
17,2,"(0, 0)",2,1,1,TRUE,"(-1, -1)","{'immediate_reward': -1, 'total rewards': 0.0, 'total steps': 3, 'current state': (-1, -1)}"
18,0,"(0, 0)",0,0,0,FALSE,"(0, 1)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 1, 'current state': (0, 1)}"
18,1,"(0, 1)",1,0,0,FALSE,"(1, 1)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 2, 'current state': (1, 1)}"
18,2,"(1, 1)",3,0,0,FALSE,"(0, 1)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 3, 'current state': (0, 1)}"
18,3,"(0, 1)",1,0,0,FALSE,"(1, 1)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 4, 'current state': (1, 1)}"
18,4,"(1, 1)",1,0,0,FALSE,"(2, 1)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 5, 'current state': (2, 1)}"
18,5,"(2, 1)",1,0,0,FALSE,"(3, 1)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 6, 'current state': (3, 1)}"
18,6,"(3, 1)",3,0,0,FALSE,"(2, 1)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 7, 'current state': (2, 1)}"
18,7,"(2, 1)",2,0,0,FALSE,"(2, 0)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 8, 'current state': (2, 0)}"
18,8,"(2, 0)",2,1,1,TRUE,"(-1, -1)","{'immediate_reward': -1, 'total rewards': 0.0, 'total steps': 9, 'current state': (-1, -1)}"
19,0,"(0, 0)",2,1,1,TRUE,"(-1, -1)","{'immediate_reward': -1, 'total rewards': 0, 'total steps': 1, 'current state': (-1, -1)}"
20,0,"(0, 0)",0,0,0,FALSE,"(0, 1)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 1, 'current state': (0, 1)}"
20,1,"(0, 1)",3,1,1,TRUE,"(-1, -1)","{'immediate_reward': -1, 'total rewards': 0.0, 'total steps': 2, 'current state': (-1, -1)}"
21,0,"(0, 0)",3,1,1,TRUE,"(-1, -1)","{'immediate_reward': -1, 'total rewards': 0, 'total steps': 1, 'current state': (-1, -1)}"
22,0,"(0, 0)",1,0,0,FALSE,"(1, 0)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 1, 'current state': (1, 0)}"
22,1,"(1, 0)",3,0,0,FALSE,"(0, 0)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 2, 'current state': (0, 0)}"
22,2,"(0, 0)",1,0,0,FALSE,"(1, 0)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 3, 'current state': (1, 0)}"
22,3,"(1, 0)",1,0,0,FALSE,"(2, 0)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 4, 'current state': (2, 0)}"
22,4,"(2, 0)",2,1,1,TRUE,"(-1, -1)","{'immediate_reward': -1, 'total rewards': 0.0, 'total steps': 5, 'current state': (-1, -1)}"
23,0,"(0, 0)",3,1,1,TRUE,"(-1, -1)","{'immediate_reward': -1, 'total rewards': 0, 'total steps': 1, 'current state': (-1, -1)}"
24,0,"(0, 0)",1,0,0,FALSE,"(1, 0)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 1, 'current state': (1, 0)}"
24,1,"(1, 0)",3,0,0,FALSE,"(0, 0)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 2, 'current state': (0, 0)}"
24,2,"(0, 0)",2,1,1,TRUE,"(-1, -1)","{'immediate_reward': -1, 'total rewards': 0.0, 'total steps': 3, 'current state': (-1, -1)}"
25,0,"(0, 0)",3,1,1,TRUE,"(-1, -1)","{'immediate_reward': -1, 'total rewards': 0, 'total steps': 1, 'current state': (-1, -1)}"
26,0,"(0, 0)",0,0,0,FALSE,"(0, 1)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 1, 'current state': (0, 1)}"
26,1,"(0, 1)",3,1,1,TRUE,"(-1, -1)","{'immediate_reward': -1, 'total rewards': 0.0, 'total steps': 2, 'current state': (-1, -1)}"
27,0,"(0, 0)",2,1,1,TRUE,"(-1, -1)","{'immediate_reward': -1, 'total rewards': 0, 'total steps': 1, 'current state': (-1, -1)}"
28,0,"(0, 0)",3,1,1,TRUE,"(-1, -1)","{'immediate_reward': -1, 'total rewards': 0, 'total steps': 1, 'current state': (-1, -1)}"
29,0,"(0, 0)",0,0,0,FALSE,"(0, 1)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 1, 'current state': (0, 1)}"
29,1,"(0, 1)",3,1,1,TRUE,"(-1, -1)","{'immediate_reward': -1, 'total rewards': 0.0, 'total steps': 2, 'current state': (-1, -1)}"
30,0,"(0, 0)",0,0,0,FALSE,"(0, 1)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 1, 'current state': (0, 1)}"
30,1,"(0, 1)",2,0,0,FALSE,"(0, 0)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 2, 'current state': (0, 0)}"
30,2,"(0, 0)",3,1,1,TRUE,"(-1, -1)","{'immediate_reward': -1, 'total rewards': 0.0, 'total steps': 3, 'current state': (-1, -1)}"
31,0,"(0, 0)",0,0,0,FALSE,"(0, 1)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 1, 'current state': (0, 1)}"
31,1,"(0, 1)",2,0,0,FALSE,"(0, 0)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 2, 'current state': (0, 0)}"
31,2,"(0, 0)",0,0,0,FALSE,"(0, 1)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 3, 'current state': (0, 1)}"
31,3,"(0, 1)",0,0,0,FALSE,"(0, 2)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 4, 'current state': (0, 2)}"
31,4,"(0, 2)",0,0,0,FALSE,"(0, 3)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 5, 'current state': (0, 3)}"
31,5,"(0, 3)",0,0,0,FALSE,"(0, 4)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 6, 'current state': (0, 4)}"
31,6,"(0, 4)",2,0,0,FALSE,"(0, 3)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 7, 'current state': (0, 3)}"
31,7,"(0, 3)",1,0,0,FALSE,"(1, 3)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 8, 'current state': (1, 3)}"
31,8,"(1, 3)",1,0,0,FALSE,"(2, 3)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 9, 'current state': (2, 3)}"
31,9,"(2, 3)",1,0,0,FALSE,"(3, 3)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 10, 'current state': (3, 3)}"
31,10,"(3, 3)",2,0,0,FALSE,"(3, 2)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 11, 'current state': (3, 2)}"
31,11,"(3, 2)",2,0,0,FALSE,"(3, 1)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 12, 'current state': (3, 1)}"
31,12,"(3, 1)",3,0,0,FALSE,"(2, 1)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 13, 'current state': (2, 1)}"
31,13,"(2, 1)",3,0,0,FALSE,"(1, 1)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 14, 'current state': (1, 1)}"
31,14,"(1, 1)",1,0,0,FALSE,"(2, 1)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 15, 'current state': (2, 1)}"
31,15,"(2, 1)",0,0,0,FALSE,"(2, 2)","{'immediate_reward': 5.0, 'total rewards': 5.0, 'total steps': 16, 'current state': (2, 2)}"
31,16,"(2, 2)",1,0,0,FALSE,"(3, 2)","{'immediate_reward': 0.0, 'total rewards': 5.0, 'total steps': 17, 'current state': (3, 2)}"
31,17,"(3, 2)",0,0,0,FALSE,"(3, 3)","{'immediate_reward': 0.0, 'total rewards': 5.0, 'total steps': 18, 'current state': (3, 3)}"
31,18,"(3, 3)",3,0,0,FALSE,"(2, 3)","{'immediate_reward': 0.0, 'total rewards': 5.0, 'total steps': 19, 'current state': (2, 3)}"
31,19,"(2, 3)",2,0,0,FALSE,"(2, 2)","{'immediate_reward': 0.0, 'total rewards': 5.0, 'total steps': 20, 'current state': (2, 2)}"
31,20,"(2, 2)",0,0,0,FALSE,"(2, 3)","{'immediate_reward': 0.0, 'total rewards': 5.0, 'total steps': 21, 'current state': (2, 3)}"
31,21,"(2, 3)",2,0,0,FALSE,"(2, 2)","{'immediate_reward': 0.0, 'total rewards': 5.0, 'total steps': 22, 'current state': (2, 2)}"
31,22,"(2, 2)",1,0,0,FALSE,"(3, 2)","{'immediate_reward': 0.0, 'total rewards': 5.0, 'total steps': 23, 'current state': (3, 2)}"
31,23,"(3, 2)",0,0,0,FALSE,"(3, 3)","{'immediate_reward': 0.0, 'total rewards': 5.0, 'total steps': 24, 'current state': (3, 3)}"
31,24,"(3, 3)",2,0,0,FALSE,"(3, 2)","{'immediate_reward': 0.0, 'total rewards': 5.0, 'total steps': 25, 'current state': (3, 2)}"
31,25,"(3, 2)",3,0,0,FALSE,"(2, 2)","{'immediate_reward': 0.0, 'total rewards': 5.0, 'total steps': 26, 'current state': (2, 2)}"
31,26,"(2, 2)",3,0,0,FALSE,"(1, 2)","{'immediate_reward': 0.0, 'total rewards': 5.0, 'total steps': 27, 'current state': (1, 2)}"
31,27,"(1, 2)",2,0,0,FALSE,"(1, 1)","{'immediate_reward': 0.0, 'total rewards': 5.0, 'total steps': 28, 'current state': (1, 1)}"
31,28,"(1, 1)",1,0,0,FALSE,"(2, 1)","{'immediate_reward': 0.0, 'total rewards': 5.0, 'total steps': 29, 'current state': (2, 1)}"
31,29,"(2, 1)",0,0,0,FALSE,"(2, 2)","{'immediate_reward': 0.0, 'total rewards': 5.0, 'total steps': 30, 'current state': (2, 2)}"
31,30,"(2, 2)",3,0,0,FALSE,"(1, 2)","{'immediate_reward': 0.0, 'total rewards': 5.0, 'total steps': 31, 'current state': (1, 2)}"
31,31,"(1, 2)",2,0,0,FALSE,"(1, 1)","{'immediate_reward': 0.0, 'total rewards': 5.0, 'total steps': 32, 'current state': (1, 1)}"
31,32,"(1, 1)",0,0,0,FALSE,"(1, 2)","{'immediate_reward': 0.0, 'total rewards': 5.0, 'total steps': 33, 'current state': (1, 2)}"
31,33,"(1, 2)",0,0,0,FALSE,"(1, 3)","{'immediate_reward': 0.0, 'total rewards': 5.0, 'total steps': 34, 'current state': (1, 3)}"
31,34,"(1, 3)",3,0,0,FALSE,"(0, 3)","{'immediate_reward': 0.0, 'total rewards': 5.0, 'total steps': 35, 'current state': (0, 3)}"
31,35,"(0, 3)",3,-4,-4,TRUE,"(-1, -1)","{'immediate_reward': -1, 'total rewards': 5.0, 'total steps': 36, 'current state': (-1, -1)}"
32,0,"(0, 0)",3,1,1,TRUE,"(-1, -1)","{'immediate_reward': -1, 'total rewards': 0, 'total steps': 1, 'current state': (-1, -1)}"
33,0,"(0, 0)",1,0,0,FALSE,"(1, 0)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 1, 'current state': (1, 0)}"
33,1,"(1, 0)",1,0,0,FALSE,"(2, 0)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 2, 'current state': (2, 0)}"
33,2,"(2, 0)",2,1,1,TRUE,"(-1, -1)","{'immediate_reward': -1, 'total rewards': 0.0, 'total steps': 3, 'current state': (-1, -1)}"
34,0,"(0, 0)",2,1,1,TRUE,"(-1, -1)","{'immediate_reward': -1, 'total rewards': 0, 'total steps': 1, 'current state': (-1, -1)}"
35,0,"(0, 0)",1,0,0,FALSE,"(1, 0)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 1, 'current state': (1, 0)}"
35,1,"(1, 0)",1,0,0,FALSE,"(2, 0)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 2, 'current state': (2, 0)}"
35,2,"(2, 0)",1,0,0,FALSE,"(3, 0)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 3, 'current state': (3, 0)}"
35,3,"(3, 0)",3,0,0,FALSE,"(2, 0)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 4, 'current state': (2, 0)}"
35,4,"(2, 0)",1,0,0,FALSE,"(3, 0)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 5, 'current state': (3, 0)}"
35,5,"(3, 0)",1,0,0,FALSE,"(4, 0)","{'immediate_reward': -3.0, 'total rewards': -3.0, 'total steps': 6, 'current state': (4, 0)}"
35,6,"(4, 0)",2,4,4,TRUE,"(-1, -1)","{'immediate_reward': -1, 'total rewards': -3.0, 'total steps': 7, 'current state': (-1, -1)}"
36,0,"(0, 0)",3,1,1,TRUE,"(-1, -1)","{'immediate_reward': -1, 'total rewards': 0, 'total steps': 1, 'current state': (-1, -1)}"
37,0,"(0, 0)",2,1,1,TRUE,"(-1, -1)","{'immediate_reward': -1, 'total rewards': 0, 'total steps': 1, 'current state': (-1, -1)}"
38,0,"(0, 0)",3,1,1,TRUE,"(-1, -1)","{'immediate_reward': -1, 'total rewards': 0, 'total steps': 1, 'current state': (-1, -1)}"
39,0,"(0, 0)",0,0,0,FALSE,"(0, 1)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 1, 'current state': (0, 1)}"
39,1,"(0, 1)",3,1,1,TRUE,"(-1, -1)","{'immediate_reward': -1, 'total rewards': 0.0, 'total steps': 2, 'current state': (-1, -1)}"
40,0,"(0, 0)",3,1,1,TRUE,"(-1, -1)","{'immediate_reward': -1, 'total rewards': 0, 'total steps': 1, 'current state': (-1, -1)}"
41,0,"(0, 0)",1,0,0,FALSE,"(1, 0)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 1, 'current state': (1, 0)}"
41,1,"(1, 0)",3,0,0,FALSE,"(0, 0)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 2, 'current state': (0, 0)}"
41,2,"(0, 0)",3,1,1,TRUE,"(-1, -1)","{'immediate_reward': -1, 'total rewards': 0.0, 'total steps': 3, 'current state': (-1, -1)}"
42,0,"(0, 0)",2,1,1,TRUE,"(-1, -1)","{'immediate_reward': -1, 'total rewards': 0, 'total steps': 1, 'current state': (-1, -1)}"
43,0,"(0, 0)",0,0,0,FALSE,"(0, 1)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 1, 'current state': (0, 1)}"
43,1,"(0, 1)",0,0,0,FALSE,"(0, 2)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 2, 'current state': (0, 2)}"
43,2,"(0, 2)",2,0,0,FALSE,"(0, 1)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 3, 'current state': (0, 1)}"
43,3,"(0, 1)",2,0,0,FALSE,"(0, 0)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 4, 'current state': (0, 0)}"
43,4,"(0, 0)",1,0,0,FALSE,"(1, 0)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 5, 'current state': (1, 0)}"
43,5,"(1, 0)",1,0,0,FALSE,"(2, 0)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 6, 'current state': (2, 0)}"
43,6,"(2, 0)",3,0,0,FALSE,"(1, 0)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 7, 'current state': (1, 0)}"
43,7,"(1, 0)",1,0,0,FALSE,"(2, 0)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 8, 'current state': (2, 0)}"
43,8,"(2, 0)",2,1,1,TRUE,"(-1, -1)","{'immediate_reward': -1, 'total rewards': 0.0, 'total steps': 9, 'current state': (-1, -1)}"
44,0,"(0, 0)",0,0,0,FALSE,"(0, 1)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 1, 'current state': (0, 1)}"
44,1,"(0, 1)",0,0,0,FALSE,"(0, 2)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 2, 'current state': (0, 2)}"
44,2,"(0, 2)",2,0,0,FALSE,"(0, 1)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 3, 'current state': (0, 1)}"
44,3,"(0, 1)",3,1,1,TRUE,"(-1, -1)","{'immediate_reward': -1, 'total rewards': 0.0, 'total steps': 4, 'current state': (-1, -1)}"
45,0,"(0, 0)",2,1,1,TRUE,"(-1, -1)","{'immediate_reward': -1, 'total rewards': 0, 'total steps': 1, 'current state': (-1, -1)}"
46,0,"(0, 0)",0,0,0,FALSE,"(0, 1)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 1, 'current state': (0, 1)}"
46,1,"(0, 1)",3,1,1,TRUE,"(-1, -1)","{'immediate_reward': -1, 'total rewards': 0.0, 'total steps': 2, 'current state': (-1, -1)}"
47,0,"(0, 0)",3,1,1,TRUE,"(-1, -1)","{'immediate_reward': -1, 'total rewards': 0, 'total steps': 1, 'current state': (-1, -1)}"
48,0,"(0, 0)",2,1,1,TRUE,"(-1, -1)","{'immediate_reward': -1, 'total rewards': 0, 'total steps': 1, 'current state': (-1, -1)}"
49,0,"(0, 0)",2,1,1,TRUE,"(-1, -1)","{'immediate_reward': -1, 'total rewards': 0, 'total steps': 1, 'current state': (-1, -1)}"
50,0,"(0, 0)",2,1,1,TRUE,"(-1, -1)","{'immediate_reward': -1, 'total rewards': 0, 'total steps': 1, 'current state': (-1, -1)}"
51,0,"(0, 0)",2,1,1,TRUE,"(-1, -1)","{'immediate_reward': -1, 'total rewards': 0, 'total steps': 1, 'current state': (-1, -1)}"
52,0,"(0, 0)",2,1,1,TRUE,"(-1, -1)","{'immediate_reward': -1, 'total rewards': 0, 'total steps': 1, 'current state': (-1, -1)}"
53,0,"(0, 0)",0,0,0,FALSE,"(0, 1)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 1, 'current state': (0, 1)}"
53,1,"(0, 1)",1,0,0,FALSE,"(1, 1)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 2, 'current state': (1, 1)}"
53,2,"(1, 1)",1,0,0,FALSE,"(2, 1)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 3, 'current state': (2, 1)}"
53,3,"(2, 1)",3,0,0,FALSE,"(1, 1)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 4, 'current state': (1, 1)}"
53,4,"(1, 1)",2,0,0,FALSE,"(1, 0)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 5, 'current state': (1, 0)}"
53,5,"(1, 0)",1,0,0,FALSE,"(2, 0)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 6, 'current state': (2, 0)}"
53,6,"(2, 0)",0,0,0,FALSE,"(2, 1)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 7, 'current state': (2, 1)}"
53,7,"(2, 1)",0,0,0,FALSE,"(2, 2)","{'immediate_reward': 5.0, 'total rewards': 5.0, 'total steps': 8, 'current state': (2, 2)}"
53,8,"(2, 2)",1,0,0,FALSE,"(3, 2)","{'immediate_reward': 0.0, 'total rewards': 5.0, 'total steps': 9, 'current state': (3, 2)}"
53,9,"(3, 2)",3,0,0,FALSE,"(2, 2)","{'immediate_reward': 0.0, 'total rewards': 5.0, 'total steps': 10, 'current state': (2, 2)}"
